Publish Date,ADA,BNB,BTC,DOGE,EOS,ETH,IOTA,LTC,NEO,VET,XLM,XMR,XRP
31/08/2020,0.068728889,0.066309375,0.05884252,0.073352,0.08236875,0.090099487,0.046175,0,0.21162,0.149430769,-0.0181875,0.142283333,0.0759
01/09/2020,0.143034615,0.065528125,0.122932971,0.193339286,0.126516667,0.031595402,0.1712375,0.192016667,0.186555556,0.1468,-0.0829125,0.05125,0.182114286
02/09/2020,0.139214286,-0.083208,0.057851746,0.137131818,0.140333333,0.033920183,0,0.153894737,0.112628571,0.11148,0.0903,0.067015625,0.193381818
03/09/2020,0.121319565,0.110176923,0.073672755,0.101430769,0.047176923,0.072863441,0.116666667,0.079211111,0.4090625,-0.131975,0.347628571,0.062852,0.123833333
04/09/2020,0.084378788,0.057157576,0.044940563,0.081677273,0.022626316,0.045270303,0,0.07358125,0.161807692,0.242783333,-0.005114286,0.045594737,-0.021745455
05/09/2020,0.142325,-0.055475,0.095661624,0.170788889,0.232028571,0.058990141,0.1022125,0.08302,0.003271429,0.162075,0.064,0.068616667,0.015484615
06/09/2020,0.128464706,-0.0014,0.014311255,0.09665,0.172578571,0.068630657,0.173428571,0.1561375,-0.3938,0,-0.14368,0.127447059,-0.22937
07/09/2020,0.0654,-0.030558065,0.068038618,0.087695,0.10773,0.068442604,0.34805,0.07636,0.079822222,0.029785714,0.028866667,-0.138290909,0.2167625
08/09/2020,0.1117,-0.06230303,0.098185547,0.263938889,0.23616,0.063895313,0.10989,0.05097619,0.43634,0.125216667,0.363125,0.091504348,0.036807692
09/09/2020,0.108558065,0.02762,0.087421053,0.177523529,0.204766667,0.067883815,0.32912,0.1263,0.374835294,0.2002,-0.086333333,0.109144444,0.232741176
10/09/2020,0.009794737,0.02373871,0.068261111,0.161796774,0.074728571,0.058741748,0.2392125,0.088171429,0.552275,0.067241667,0.060214286,0.055909375,0.268347059
11/09/2020,0.096335,0.115772414,0.065623881,0.233227273,0.24604,0.081161364,0.17012,0.286175,0.519323529,-0.01538,0.08038,0.105581818,0.073383333
12/09/2020,0.027595833,0.095403846,0.101163948,0.114783333,0.0535875,0.041507285,-0.055528571,-0.093225,0.091388462,0.077861538,0.201716667,-0.009095833,-0.0338
13/09/2020,0.089203333,-0.0555,0.074258824,0.090353846,0.13091,0.058269565,0.163875,0.173027273,0.032045455,-0.039671429,0.026466667,0.023918519,-0.010643478
14/09/2020,0.196778571,0.112072973,0.078204428,0.1789,0.033844444,0.068573563,0.066983333,0.22898,0.23313125,0.111871429,0.1022,0.142962963,0.05568125
15/09/2020,0.254036364,0.0865375,0.0636327,0.079342105,0.0425,0.078858289,0.2732,0.11928125,0.00032,0.261466667,0.20134,0.042594118,0.11304
16/09/2020,0.084145946,0.064455556,0.07355073,0.164986667,0.159318182,0.069799457,0.1876,0.060518182,0.356826316,0.154693333,0.107715385,0.082090476,0.205393333
17/09/2020,0.111888,0.028783871,0.134807224,0.22266087,-0.0843,0.07012193,0.053633333,0.143015385,0.306761905,0.246588889,0.253766667,0.116430769,0.156647826
18/09/2020,0.1470625,-0.028454167,0.05458481,0.147192857,0.22325,0.087012766,0.3509625,0.07832,0.123306667,0.3541,0.0289,0.107664286,0.30372
19/09/2020,0.135511765,0.010359091,0.110223757,0.068490909,0.172636364,0.065377444,0.152933333,-0.019683333,0.00754,0,0.0398,0.065741176,0.083542857
20/09/2020,0.07862963,0.175085714,0.069489474,0.24951875,0.0533875,0.097115652,0.089875,0.111125,0.17065,-0.017571429,0.152428571,0.101788235,0.2509
21/09/2020,0.150956522,0.125043478,0.067783193,0.143796875,0.050952174,0.106750311,0.150544444,-0.0234,0.285866667,0,-0.014036364,0.113323529,0.047485
22/09/2020,-0.093207692,0.032054545,0.037562857,0.1147,0.20095,0.02143253,0.252466667,0,0.27795,0.067433333,-0.105533333,0.163631579,0.17691
23/09/2020,0.136376316,-0.02167,0.070075714,0.176685,0.142075,0.096846237,0.24695,-0.01308,0.203256757,0.203666667,0.2072,0.015866667,0.117872222
