Unnamed: 0,ADA,BNB,BTC,DOGE,EOS,ETH,IOTA,LTC,NEO,VET,XLM,XMR,XRP,Publish Date,ada,bnb,btc,doge,eos,eth,ltc,miota,neo,vet,xlm,xmr,xrp
,,,,,,,,,,,,,,2020-01-17,18.0,18.0,277.0,17.0,13.0,170.0,6.0,13.0,0.0,7.0,10.0,18.0,17.0
,,,,,,,,,,,,,,2020-01-18,23.0,12.0,285.0,14.0,17.0,157.0,7.0,7.0,13.0,6.0,15.0,17.0,27.0
,,,,,,,,,,,,,,2020-01-19,12.0,12.0,205.0,19.0,11.0,139.0,3.0,1.0,11.0,6.0,9.0,17.0,10.0
,,,,,,,,,,,,,,2020-01-20,15.0,8.0,304.0,19.0,10.0,112.0,2.0,11.0,7.0,3.0,8.0,21.0,11.0
,,,,,,,,,,,,,,2020-01-21,21.0,10.0,216.0,12.0,21.0,174.0,4.0,14.0,3.0,2.0,8.0,15.0,25.0
,,,,,,,,,,,,,,2020-01-22,24.0,10.0,256.0,16.0,18.0,159.0,8.0,10.0,13.0,3.0,10.0,24.0,25.0
,,,,,,,,,,,,,,2020-01-23,15.0,11.0,246.0,20.0,15.0,163.0,6.0,12.0,8.0,6.0,10.0,22.0,16.0
,,,,,,,,,,,,,,2020-01-24,22.0,13.0,287.0,16.0,21.0,145.0,7.0,9.0,4.0,9.0,8.0,19.0,29.0
,,,,,,,,,,,,,,2020-01-25,24.0,15.0,277.0,10.0,13.0,146.0,5.0,8.0,4.0,5.0,8.0,17.0,38.0
,,,,,,,,,,,,,,2020-01-26,21.0,7.0,236.0,15.0,12.0,112.0,8.0,8.0,18.0,4.0,3.0,11.0,22.0
,,,,,,,,,,,,,,2020-01-27,11.0,8.0,245.0,9.0,16.0,101.0,1.0,4.0,4.0,2.0,2.0,12.0,14.0
,,,,,,,,,,,,,,2020-01-28,26.0,7.0,302.0,8.0,10.0,170.0,6.0,11.0,18.0,6.0,8.0,7.0,20.0
,,,,,,,,,,,,,,2020-01-29,23.0,12.0,277.0,14.0,24.0,177.0,6.0,9.0,12.0,4.0,6.0,14.0,26.0
,,,,,,,,,,,,,,2020-01-30,28.0,20.0,282.0,30.0,35.0,171.0,7.0,15.0,10.0,17.0,4.0,18.0,21.0
,,,,,,,,,,,,,,2020-01-31,22.0,17.0,269.0,13.0,15.0,165.0,7.0,20.0,14.0,4.0,7.0,17.0,25.0
,,,,,,,,,,,,,,2020-02-01,27.0,8.0,259.0,19.0,14.0,212.0,8.0,10.0,23.0,8.0,7.0,14.0,27.0
,,,,,,,,,,,,,,2020-02-02,20.0,4.0,188.0,14.0,11.0,191.0,8.0,6.0,5.0,3.0,2.0,10.0,13.0
,,,,,,,,,,,,,,2020-02-03,22.0,9.0,223.0,18.0,8.0,196.0,8.0,11.0,6.0,1.0,1.0,23.0,13.0
,,,,,,,,,,,,,,2020-02-04,24.0,7.0,254.0,14.0,25.0,293.0,9.0,32.0,5.0,6.0,12.0,9.0,24.0
,,,,,,,,,,,,,,2020-02-05,11.0,14.0,215.0,13.0,17.0,231.0,7.0,14.0,8.0,7.0,6.0,16.0,40.0
,,,,,,,,,,,,,,2020-02-06,21.0,17.0,294.0,12.0,24.0,176.0,6.0,18.0,15.0,7.0,8.0,23.0,33.0
,,,,,,,,,,,,,,2020-02-07,29.0,13.0,296.0,20.0,16.0,181.0,9.0,18.0,10.0,4.0,15.0,18.0,37.0
,,,,,,,,,,,,,,2020-02-08,25.0,25.0,270.0,20.0,11.0,233.0,9.0,7.0,10.0,9.0,10.0,17.0,37.0
,,,,,,,,,,,,,,2020-02-09,19.0,14.0,226.0,31.0,15.0,168.0,7.0,14.0,4.0,6.0,8.0,25.0,24.0
,,,,,,,,,,,,,,2020-02-10,15.0,6.0,316.0,31.0,14.0,175.0,13.0,10.0,10.0,5.0,5.0,15.0,28.0
,,,,,,,,,,,,,,2020-02-11,33.0,12.0,274.0,26.0,24.0,191.0,20.0,8.0,4.0,6.0,10.0,23.0,21.0
,,,,,,,,,,,,,,2020-02-12,26.0,24.0,299.0,12.0,22.0,199.0,10.0,14.0,19.0,8.0,6.0,23.0,26.0
,,,,,,,,,,,,,,2020-02-13,28.0,16.0,307.0,16.0,27.0,213.0,11.0,12.0,8.0,11.0,11.0,13.0,36.0
,,,,,,,,,,,,,,2020-02-14,24.0,29.0,284.0,13.0,18.0,219.0,6.0,20.0,8.0,16.0,8.0,28.0,53.0
,,,,,,,,,,,,,,2020-02-15,19.0,25.0,291.0,18.0,17.0,178.0,4.0,27.0,5.0,5.0,5.0,26.0,29.0
,,,,,,,,,,,,,,2020-02-16,23.0,24.0,247.0,18.0,13.0,155.0,5.0,24.0,3.0,10.0,17.0,22.0,24.0
,,,,,,,,,,,,,,2020-02-17,23.0,18.0,294.0,14.0,17.0,131.0,4.0,18.0,11.0,7.0,8.0,15.0,23.0
,,,,,,,,,,,,,,2020-02-18,22.0,20.0,334.0,21.0,20.0,212.0,9.0,25.0,14.0,10.0,13.0,22.0,33.0
,,,,,,,,,,,,,,2020-02-19,20.0,30.0,316.0,15.0,13.0,212.0,7.0,18.0,17.0,13.0,11.0,26.0,21.0
,,,,,,,,,,,,,,2020-02-20,28.0,27.0,298.0,19.0,14.0,180.0,8.0,20.0,12.0,7.0,13.0,18.0,34.0
,,,,,,,,,,,,,,2020-02-21,34.0,21.0,297.0,20.0,16.0,178.0,4.0,20.0,11.0,11.0,15.0,16.0,32.0
,,,,,,,,,,,,,,2020-02-22,25.0,17.0,247.0,9.0,20.0,198.0,5.0,17.0,5.0,7.0,11.0,14.0,32.0
,,,,,,,,,,,,,,2020-02-23,16.0,14.0,203.0,12.0,12.0,141.0,5.0,25.0,12.0,2.0,10.0,13.0,11.0
,,,,,,,,,,,,,,2020-02-24,16.0,6.0,215.0,17.0,15.0,112.0,4.0,14.0,10.0,3.0,3.0,16.0,21.0
,,,,,,,,,,,,,,2020-02-25,19.0,13.0,252.0,15.0,26.0,172.0,7.0,13.0,11.0,13.0,9.0,20.0,23.0
,,,,,,,,,,,,,,2020-02-26,29.0,9.0,277.0,14.0,16.0,179.0,5.0,12.0,10.0,10.0,9.0,15.0,16.0
,,,,,,,,,,,,,,2020-02-27,14.0,16.0,325.0,9.0,9.0,169.0,9.0,10.0,5.0,10.0,10.0,17.0,36.0
,,,,,,,,,,,,,,2020-02-28,13.0,10.0,297.0,13.0,15.0,161.0,21.0,14.0,12.0,11.0,8.0,21.0,16.0
,,,,,,,,,,,,,,2020-02-29,21.0,13.0,293.0,11.0,17.0,147.0,4.0,9.0,13.0,9.0,8.0,17.0,19.0
,,,,,,,,,,,,,,2020-03-01,11.0,6.0,221.0,12.0,14.0,105.0,11.0,14.0,22.0,11.0,15.0,22.0,12.0
,,,,,,,,,,,,,,2020-03-02,12.0,9.0,206.0,11.0,8.0,94.0,3.0,10.0,12.0,2.0,6.0,14.0,12.0
,,,,,,,,,,,,,,2020-03-03,22.0,18.0,259.0,14.0,20.0,171.0,8.0,9.0,11.0,7.0,7.0,20.0,23.0
,,,,,,,,,,,,,,2020-03-04,29.0,10.0,272.0,12.0,14.0,211.0,7.0,3.0,9.0,6.0,6.0,23.0,25.0
,,,,,,,,,,,,,,2020-03-05,11.0,24.0,288.0,15.0,18.0,188.0,8.0,9.0,15.0,7.0,5.0,18.0,21.0
,,,,,,,,,,,,,,2020-03-06,19.0,13.0,293.0,21.0,17.0,192.0,9.0,16.0,6.0,5.0,10.0,20.0,18.0
,,,,,,,,,,,,,,2020-03-07,20.0,19.0,219.0,19.0,9.0,190.0,4.0,10.0,25.0,3.0,5.0,13.0,26.0
,,,,,,,,,,,,,,2020-03-08,20.0,6.0,203.0,14.0,5.0,126.0,8.0,11.0,3.0,2.0,6.0,16.0,11.0
,,,,,,,,,,,,,,2020-03-09,18.0,14.0,215.0,12.0,7.0,128.0,8.0,10.0,19.0,2.0,6.0,14.0,12.0
,,,,,,,,,,,,,,2020-03-10,18.0,16.0,279.0,19.0,16.0,164.0,7.0,9.0,6.0,11.0,5.0,15.0,15.0
,,,,,,,,,,,,,,2020-03-11,18.0,20.0,267.0,15.0,18.0,179.0,8.0,22.0,15.0,4.0,5.0,13.0,19.0
,,,,,,,,,,,,,,2020-03-12,19.0,9.0,259.0,16.0,18.0,193.0,9.0,15.0,10.0,6.0,6.0,14.0,10.0
,,,,,,,,,,,,,,2020-03-13,23.0,18.0,606.0,13.0,19.0,190.0,8.0,11.0,14.0,3.0,4.0,11.0,19.0
,,,,,,,,,,,,,,2020-03-14,14.0,13.0,755.0,18.0,10.0,177.0,14.0,14.0,3.0,4.0,9.0,14.0,17.0
,,,,,,,,,,,,,,2020-03-15,15.0,8.0,299.0,16.0,8.0,127.0,5.0,6.0,7.0,2.0,5.0,17.0,7.0
,,,,,,,,,,,,,,2020-03-16,28.0,10.0,298.0,11.0,6.0,116.0,4.0,10.0,8.0,7.0,3.0,13.0,6.0
,,,,,,,,,,,,,,2020-03-17,17.0,11.0,425.0,10.0,11.0,167.0,5.0,10.0,18.0,8.0,4.0,25.0,10.0
,,,,,,,,,,,,,,2020-03-18,22.0,12.0,342.0,16.0,11.0,178.0,7.0,5.0,5.0,6.0,12.0,12.0,13.0
,,,,,,,,,,,,,,2020-03-19,21.0,10.0,317.0,14.0,14.0,169.0,10.0,6.0,10.0,4.0,9.0,19.0,8.0
,,,,,,,,,,,,,,2020-03-20,17.0,13.0,390.0,22.0,16.0,203.0,10.0,7.0,11.0,12.0,3.0,22.0,27.0
,,,,,,,,,,,,,,2020-03-21,23.0,19.0,315.0,21.0,16.0,147.0,5.0,5.0,15.0,13.0,7.0,21.0,10.0
,,,,,,,,,,,,,,2020-03-22,12.0,9.0,261.0,21.0,10.0,107.0,7.0,8.0,9.0,6.0,3.0,10.0,12.0
,,,,,,,,,,,,,,2020-03-23,12.0,14.0,241.0,22.0,9.0,106.0,5.0,8.0,13.0,1.0,5.0,16.0,12.0
,,,,,,,,,,,,,,2020-03-24,21.0,8.0,284.0,17.0,14.0,161.0,11.0,3.0,4.0,6.0,8.0,11.0,20.0
,,,,,,,,,,,,,,2020-03-25,20.0,26.0,341.0,17.0,11.0,168.0,12.0,4.0,14.0,4.0,10.0,11.0,35.0
,,,,,,,,,,,,,,2020-03-26,24.0,15.0,327.0,19.0,19.0,173.0,12.0,6.0,14.0,4.0,10.0,23.0,22.0
,,,,,,,,,,,,,,2020-03-27,21.0,15.0,272.0,25.0,19.0,152.0,14.0,9.0,16.0,1.0,6.0,19.0,25.0
,,,,,,,,,,,,,,2020-03-28,21.0,16.0,256.0,26.0,14.0,149.0,12.0,6.0,12.0,8.0,5.0,12.0,23.0
,,,,,,,,,,,,,,2020-03-29,10.0,12.0,245.0,18.0,7.0,117.0,5.0,3.0,8.0,5.0,5.0,13.0,22.0
,,,,,,,,,,,,,,2020-03-30,12.0,6.0,197.0,9.0,4.0,98.0,4.0,6.0,15.0,4.0,7.0,10.0,19.0
,,,,,,,,,,,,,,2020-03-31,22.0,11.0,276.0,36.0,15.0,158.0,8.0,9.0,11.0,9.0,12.0,11.0,18.0
